[INFO] APPS1: 789	APPS2: 771	[INFO] Travel : 0.00
[INFO] APPS1: 790	APPS2: 771	[INFO] Travel : 0.00
[INFO] APPS1: 790	APPS2: 771	[INFO] Travel : 0.00
[INFO] APPS1: 790	APPS2: 771	[INFO] Travel : 0.00
[INFO] APPS1: 790	APPS2: 770	[INFO] Travel : 0.00
[INFO] APPS1: 790	APPS2: 770	[INFO] Travel : 0.00
[INFO] APPS1: 790	APPS2: 769	[INFO] Travel : 0.00
[INFO] APPS1: 750	APPS2: 766	[INFO] Travel : 0.00
[INFO] APPS1: 729	APPS2: 757	[INFO] Travel : 0.00
[INFO] APPS1: 729	APPS2: 743	[INFO] Travel : 0.00
[INFO] APPS1: 728	APPS2: 724	[INFO] Travel : 0.00
[INFO] APPS1: 724	APPS2: 702	[INFO] Travel : 0.00
[INFO] APPS1: 714	APPS2: 675	[INFO] Travel : 0.00
[INFO] APPS1: 738	APPS2: 645	[INFO] Travel : 0.21
[INFO] APPS1: 737	APPS2: 614	[INFO] Travel : 6.81
[INFO] APPS1: 710	APPS2: 583	[INFO] Travel : 13.40
[INFO] APPS1: 677	APPS2: 550	[INFO] Travel : 20.42
[INFO] APPS1: 640	APPS2: 512	[INFO] Travel : 28.51
[INFO] APPS1: 601	APPS2: 472	[INFO] Travel : 37.02
[INFO] APPS1: 560	APPS2: 431	[INFO] Travel : 45.74
[INFO] APPS1: 519	APPS2: 389	[INFO] Travel : 54.68
[INFO] APPS1: 477	APPS2: 346	[INFO] Travel : 63.83
[INFO] APPS1: 435	APPS2: 309	[INFO] Travel : 71.70
[INFO] APPS1: 395	APPS2: 278	[INFO] Travel : 78.30
[INFO] APPS1: 358	APPS2: 256	[INFO] Travel : 82.98
[INFO] APPS1: 329	APPS2: 241	[INFO] Travel : 86.17
[INFO] APPS1: 307	APPS2: 233	[INFO] Travel : 87.87
[INFO] APPS1: 291	APPS2: 230	[INFO] Travel : 100.00
[INFO] APPS1: 282	APPS2: 230	[INFO] Travel : 100.00
[INFO] APPS1: 278	APPS2: 231	[INFO] Travel : 100.00
[INFO] APPS1: 279	APPS2: 231	[INFO] Travel : 100.00
[INFO] APPS1: 279	APPS2: 231	[INFO] Travel : 100.00
[INFO] APPS1: 280	APPS2: 231	[INFO] Travel : 100.00
[INFO] APPS1: 282	APPS2: 231	[INFO] Travel : 100.00
[INFO] APPS1: 288	APPS2: 231	[INFO] Travel : 100.00
[INFO] APPS1: 298	APPS2: 230	[INFO] Travel : 100.00
[INFO] APPS1: 313	APPS2: 232	[INFO] Travel : 88.09
[INFO] APPS1: 333	APPS2: 238	[INFO] Travel : 86.81
[INFO] APPS1: 357	APPS2: 249	[INFO] Travel : 84.47
[INFO] APPS1: 383	APPS2: 264	[INFO] Travel : 81.28
[INFO] APPS1: 409	APPS2: 282	[INFO] Travel : 77.45
[INFO] APPS1: 434	APPS2: 302	[INFO] Travel : 73.19
[INFO] APPS1: 456	APPS2: 325	[INFO] Travel : 68.30
[INFO] APPS1: 477	APPS2: 346	[INFO] Travel : 63.83
[INFO] APPS1: 497	APPS2: 367	[INFO] Travel : 59.36
[INFO] APPS1: 517	APPS2: 387	[INFO] Travel : 55.11
[INFO] APPS1: 537	APPS2: 408	[INFO] Travel : 50.64
[INFO] APPS1: 557	APPS2: 428	[INFO] Travel : 46.38
[INFO] APPS1: 575	APPS2: 446	[INFO] Travel : 42.55
[INFO] APPS1: 592	APPS2: 463	[INFO] Travel : 38.93
[INFO] APPS1: 605	APPS2: 477	[INFO] Travel : 35.96
[INFO] APPS1: 617	APPS2: 489	[INFO] Travel : 33.40
[INFO] APPS1: 629	APPS2: 501	[INFO] Travel : 30.85
[INFO] APPS1: 644	APPS2: 516	[INFO] Travel : 27.66
[INFO] APPS1: 664	APPS2: 536	[INFO] Travel : 23.40
[INFO] APPS1: 689	APPS2: 562	[INFO] Travel : 17.87
[INFO] APPS1: 716	APPS2: 591	[INFO] Travel : 11.70
